Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,469232,Lewis,Greig,13345,NA,National Grid,2021-09-30T00:00:00,3904,Kerosene,"1,800",1,Home Performance,Single Family,Building Shell,0,14,348
2021-09-30T00:00:00,490637,Broome,Nineveh,13813,NA,New York State Electric & Gas,2021-09-07T00:00:00,2210,Oil,"2,642",1,Home Performance,Single Family,Building Shell,510,4,151
2022-04-30T00:00:00,508135,Oswego,Oswego,13126,NA,National Grid,2022-04-05T00:00:00,6080,Propane,"1,392",1,Home Performance,Single Family,Building Shell,656,8,192
2022-04-30T00:00:00,536187,Livingston,Livonia,14487,NA,National Grid,2022-03-24T00:00:00,7035,Propane,"1,188",1,Home Performance,Mobile,Building Shell,0,20,546
2021-09-30T00:00:00,506124,Oneida,Rome,13440,NA,National Grid,2021-08-17T00:00:00,6578,Other,"1,314",1,Home Performance,Single Family,Building Shell,301,22,280
2021-09-30T00:00:00,494901,Herkimer,Frankfort,13340,NA,National Grid,2021-08-05T00:00:00,7375,Pellets,"1,632",1,Home Performance,Single Family,Building Shell,367,26,439
2022-04-30T00:00:00,536886,Oneida,Ava,13303,NA,Municipal,2022-03-08T00:00:00,8707,Oil,"1,800",1,Home Performance,Single Family,Building Shell,0,6,117
2021-09-30T00:00:00,500616,Warren,Queensbury,12804,NA,National Grid,2021-07-27T00:00:00,8565,Oil,"1,979",1,Home Performance,Single Family,Building Shell,127,39,594
2022-04-30T00:00:00,465899,Fulton,Johnstown,12095,NA,National Grid,2022-03-01T00:00:00,9367,Oil,"1,500",1,Home Performance,Single Family,Building Shell,368,23,473
2021-09-30T00:00:00,512322,Warren,Queensbury,12804,NA,National Grid,2021-07-13T00:00:00,7558,Other,980,1,Home Performance,Mobile,Building Shell,1060,19,370
2022-04-30T00:00:00,534369,Fulton,Gloversville,12078,NA,National Grid,2022-02-16T00:00:00,8235,Propane,"1,120",1,Home Performance,Mobile,Building Shell,1060,22,597
2021-09-30T00:00:00,514253,Bronx,Bronx,10467,NA,Consolidated Edison,2021-07-06T00:00:00,404,Other,"1,261",2,Electric Reduction,Single Family,Building Shell,259,1,73
2021-09-30T00:00:00,464577,Oneida,Camden,13316,NA,National Grid,2021-06-22T00:00:00,9769,Propane,"1,341",1,Home Performance,Single Family,Building Shell,1619,23,773
2021-09-30T00:00:00,470434,Broome,Windsor,13865,NA,New York State Electric & Gas,2021-06-07T00:00:00,1850,Oil,"1,224",1,Home Performance,Single Family,Building Shell,0,4,105
