Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,Location 1
09/30/2021,469232,Lewis,Greig,13345,,National Grid,09/30/2021,3904,Kerosene,1871,"1,800",1,Home Performance,Single Family,Building Shell,0,14,348,"Greig, NY 13345
(43.679904, -75.302518)"
09/30/2021,490637,Broome,Nineveh,13813,,New York State Electric & Gas,09-07-2021,2210,Oil,1976,"2,642",1,Home Performance,Single Family,Building Shell,510,4,151,"Nineveh, NY 13813
(42.171266, -75.550505)"
04/30/2022,508135,Oswego,Oswego,13126,,National Grid,04-05-2022,6080,Propane,1872,"1,392",1,Home Performance,Single Family,Building Shell,656,8,192,"Oswego, NY 13126
(43.440456, -76.474421)"
04/30/2022,536187,Livingston,Livonia,14487,,National Grid,03/24/2022,7035,Propane,,"1,188",1,Home Performance,Mobile,Building Shell,0,20,546,"Livonia, NY 14487
(42.811951, -77.647442)"
09/30/2021,506124,Oneida,Rome,13440,,National Grid,08/17/2021,6578,Other,,"1,314",1,Home Performance,Single Family,Building Shell,301,22,280,"Rome, NY 13440
(43.214717, -75.454665)"
09/30/2021,494901,Herkimer,Frankfort,13340,,National Grid,08-05-2021,7375,Pellets,1968,"1,632",1,Home Performance,Single Family,Building Shell,367,26,439,"Frankfort, NY 13340
(43.050515, -75.115762)"
04/30/2022,536886,Oneida,Ava,13303,,Municipal,03-08-2022,8707,Oil,,"1,800",1,Home Performance,Single Family,Building Shell,0,6,117,"Ava, NY 13303
(43.36058, -75.4636)"
09/30/2021,500616,Warren,Queensbury,12804,,National Grid,07/27/2021,8565,Oil,1951,"1,979",1,Home Performance,Single Family,Building Shell,127,39,594,"Queensbury, NY 12804
(43.335343, -73.676867)"
04/30/2022,465899,Fulton,Johnstown,12095,,National Grid,03-01-2022,9367,Oil,1922,"1,500",1,Home Performance,Single Family,Building Shell,368,23,473,"Johnstown, NY 12095
(43.023495, -74.394891)"
09/30/2021,512322,Warren,Queensbury,12804,,National Grid,07/13/2021,7558,Other,1986,980,1,Home Performance,Mobile,Building Shell,1060,19,370,"Queensbury, NY 12804
(43.335343, -73.676867)"
04/30/2022,534369,Fulton,Gloversville,12078,,National Grid,02/16/2022,8235,Propane,,"1,120",1,Home Performance,Mobile,Building Shell,1060,22,597,"Gloversville, NY 12078
(43.082755, -74.343858)"
09/30/2021,514253,Bronx,Bronx,10467,,Consolidated Edison,07-06-2021,404,Other,,"1,261",2,Electric Reduction,Single Family,Building Shell,259,1,73,"Bronx, NY 10467
(40.874901, -73.870219)"
09/30/2021,464577,Oneida,Camden,13316,,National Grid,06/22/2021,9769,Propane,,"1,341",1,Home Performance,Single Family,Building Shell,1619,23,773,"Camden, NY 13316
(43.371679, -75.755941)"
09/30/2021,470434,Broome,Windsor,13865,,New York State Electric & Gas,06-07-2021,1850,Oil,,"1,224",1,Home Performance,Single Family,Building Shell,0,4,105,"Windsor, NY 13865
(42.065354, -75.643747)"
09/30/2021,492738,Oneida,Utica,13502,,National Grid,06-01-2021,10788,Oil,1995,"1,296",1,Home Performance,Mobile,Building Shell,1301,23,589,"Utica, NY 13502
(43.125063, -75.202584)"
04/30/2022,418402,Warren,Warrensburg,12885,,National Grid,12/22/2021,7472,Kerosene,,960,1,Home Performance,Mobile,Building Shell,636,42,840,"Warrensburg, NY 12885
(43.539538, -73.816906)"
09/30/2021,490925,Madison,Canastota,13032,,National Grid,05/18/2021,5311,Propane,1981,"3,868",1,Home Performance,Single Family,Building Shell,368,13,275,"Canastota, NY 13032
(43.082961, -75.762715)"
04/30/2022,501575,Washington,Salem,12865,,New York State Electric & Gas,12-07-2021,10655,Oil,1902,"1,814",1,Home Performance,Single Family,Building Shell,477,81,1364,"Salem, NY 12865
(43.209736, -73.34391)"
04/30/2022,526718,Kings,Brooklyn,11236,,Consolidated Edison,11/30/2021,3470,Natural Gas,,"1,998",2,Home Performance,Single Family,Building Shell,939,12,396,"Brooklyn, NY 11236
(40.640299, -73.902635)"
09/30/2021,493193,Oneida,Rome,13440,,National Grid,04/15/2021,5388,Oil,,"1,097",1,Home Performance,Single Family,Building Shell,510,19,366,"Rome, NY 13440
(43.214717, -75.454665)"
09/30/2021,441565,Warren,Lake Luzerne,12846,,National Grid,04/13/2021,1165,Propane,2009,980,1,Home Performance,Mobile,Building Shell,727,1,107,"Lake Luzerne, NY 12846
(43.328288, -73.813323)"
09/30/2021,488730,Lewis,Port Leyden,13433,,National Grid,03/23/2021,2200,Oil,,"3,172",1,Home Performance,Single Family,Building Shell,0,11,306,"Port Leyden, NY 13433
(43.595637, -75.267131)"
04/30/2022,504638,Madison,Canastota,13032,,National Grid,10-12-2021,681,Oil,,948,1,Home Performance,Single Family,Building Shell,0,1,20,"Canastota, NY 13032
(43.082961, -75.762715)"
04/30/2022,489329,Orleans,Medina,14103,,National Grid,10-05-2021,4413,Oil,,"1,844",1,Home Performance,Single Family,Building Shell,1033,19,659,"Medina, NY 14103
(43.213788, -78.377874)"
09/30/2021,438344,Otsego,Otego,13825,,New York State Electric & Gas,02/25/2021,5888,Propane,,"1,624",1,Home Performance,Mobile,Building Shell,661,33,626,"Otego, NY 13825
(42.440099, -75.197571)"
09/30/2021,462777,Oneida,Rome,13440,,National Grid,02-11-2021,6672,Oil,1836,"2,682",1,Home Performance,Single Family,Building Shell,902,16,368,"Rome, NY 13440
(43.214717, -75.454665)"
09/30/2021,478448,Oneida,Rome,13440,National Grid,National Grid,02-11-2021,354,Natural Gas,,"2,835",1,Home Performance,Single Family,Building Shell,0,3,23,"Rome, NY 13440
(43.214717, -75.454665)"
09/30/2021,471407,Nassau,Hicksville,11801,,Long Island Power Authority,02-04-2021,2746,Oil,1952,"1,388",1,Home Performance,Single Family,Building Shell,1380,3,369,"Hicksville, NY 11801
(40.762643, -73.523021)"
04/30/2022,503610,Oneida,Utica,13502,National Grid,National Grid,08-12-2021,8273,Natural Gas,1921,"3,400",1,Home Performance,Single Family,Building Shell,510,52,632,"Utica, NY 13502
(43.125063, -75.202584)"
04/30/2022,491608,Oneida,Utica,13502,National Grid,National Grid,08-12-2021,4675,Natural Gas,1961,925,1,Home Performance,Single Family,Building Shell,301,24,299,"Utica, NY 13502
(43.125063, -75.202584)"
09/30/2021,471709,Oneida,Verona,13478,,National Grid,11/18/2020,7058,Oil,,"1,717",1,Home Performance,Single Family,Building Shell,410,30,573,"Verona, NY 13478
(43.143375, -75.578144)"
09/30/2021,461291,Oneida,Camden,13316,,National Grid,10/29/2020,8857,Kerosene,1984,"1,052",1,Home Performance,Mobile,Building Shell,910,41,882,"Camden, NY 13316
(43.371679, -75.755941)"
09/30/2021,459074,Oneida,Annsville,13471,,National Grid,10-08-2020,8965,Kerosene,,980,1,Home Performance,Mobile,Building Shell,1135,25,543,"Annsville, NY 13471
(43.351866, -75.607343)"
09/30/2021,457154,Broome,Binghamton,13903,,New York State Electric & Gas,10-06-2020,11195,Oil,1971,"1,846",1,Home Performance,Single Family,Building Shell,1417,45,898,"Binghamton, NY 13903
(42.063181, -75.901088)"
04/30/2022,483443,Herkimer,Cold Brook,13324,,National Grid,05/18/2021,2332,Oil,1971,"1,050",1,Home Performance,Single Family,Building Shell,0,10,159,"Cold Brook, NY 13324
(43.328016, -74.97323)"
