id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,PM2.5,2,23,11,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,PM10,10,42,24,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,NO2,3,15,8,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,NH3,4,5,4,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,SO2,4,24,11,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,CO,38,91,57,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25-04-2023 02:00:00,OZONE,2,34,12,NA
8,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,PM2.5,33,55,45,NA
9,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,PM10,34,61,44,NA
10,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,NO2,19,39,29,NA
11,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,NH3,2,3,3,NA
12,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,SO2,9,25,13,NA
13,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,CO,20,42,27,NA
14,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",25-04-2023 02:00:00,OZONE,27,43,35,NA
15,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,PM2.5,11,45,27,NA
16,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,PM10,25,56,39,NA
17,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,NO2,10,33,17,NA
18,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,NH3,1,8,3,NA
19,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,SO2,8,16,12,NA
20,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,CO,8,60,28,NA
21,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",25-04-2023 02:00:00,OZONE,6,8,7,NA
22,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,PM2.5,17,47,31,NA
23,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,PM10,17,56,33,NA
24,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,NO2,21,54,36,NA
25,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,NH3,2,3,2,NA
26,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,SO2,1,8,5,NA
27,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,CO,38,48,42,NA
28,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",25-04-2023 02:00:00,OZONE,8,17,11,NA
29,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",25-04-2023 02:00:00,PM2.5,9,109,46,NA
30,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",25-04-2023 02:00:00,PM10,12,124,57,NA
31,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",25-04-2023 02:00:00,NO2,1,18,7,NA
32,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",25-04-2023 02:00:00,NH3,4,5,5,NA
