TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,DBH,PlotSize,XCoord,YCoord,Latitude,Longitude,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
168225,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6001190.708,2117587.712,37.7945585,-122.4398691,13,9,1,57,27,30
168228,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,4,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6001242.693,2117592.673,37.79457508,-122.4396896,13,9,1,57,27,30
189160,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,3,:,Tree,Private,2,Width 3ft,6008158.837,2109400.581,37.7724728,-122.4151786,8,2,9,28853,19,20
189158,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,1,:,Tree,Private,2,Width 3ft,6008181.209,2109420.179,37.77252786,-122.4151026,8,2,9,28853,19,20
189161,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,4,:,Tree,Private,2,Width 3ft,6008149.5,2109391.656,37.77244777,-122.4152103,8,2,9,28853,19,20
168226,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,2,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6001207.243,2117589.046,37.7945631,-122.439812,13,9,1,57,27,30
269465,Undocumented,Thuja occidentalis 'Emerald' :: Emerald Arborvitae,1670 09th Ave,1,Sidewalk: Curb side : Cutout,Landscaping,Private,NA,3x3,5993451,2104122,37.75714166,-122.4656705,1,8,4,56,12,14
269478,Planning Code 138.1 required,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,99x Tandang Sora,1,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269480,Planning Code 138.1 required,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,99x Tandang Sora,3,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253378,Planning Code 138.1 required,Platanus x hispanica :: Sycamore: London Plane,2 Alpine Ter,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6001556,2108661,37.77006881,-122.4379654,15,5,5,29492,9,3
253377,Planning Code 138.1 required,Platanus x hispanica :: Sycamore: London Plane,2 Alpine Ter,1,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6001556,2108661,37.77006881,-122.4379654,15,5,5,29492,9,3
242757,DPW Maintained,Ulmus parvifolia :: Chinese Elm,194 Corbett Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 2ft,6000172.555,2105676.752,37.76179604,-122.4425364,15,5,5,28862,3,5
191067,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,374 05th St,3,Sidewalk: Curb side : Cutout,Tree,DPW,8,Width 3ft,6011934.769,2111785.942,37.77923393,-122.4022849,14,2,9,28856,34,34
245047,DPW Maintained,Leptospermum laevigatum :: Australian Tea Tree,1034 Page St,2,Sidewalk: Curb side : Cutout,Tree,Private,6,Width 0ft,6001580.371,2109426.652,37.77217248,-122.437936,15,5,11,29492,9,3
168227,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,3,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6001225.821,2117591.345,37.79457047,-122.4397479,13,9,1,57,27,30
137429,DPW Maintained,Olea europaea 'Fruitless' :: Fruitless Olive,2530 Fillmore St,3,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6002707.93,2116976.889,37.79296759,-122.4345756,13,9,1,29490,27,30
168224,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2660 Scott St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6001171.418,2117534.769,37.79441203,-122.439932,13,9,1,57,27,30
269460,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2547 Vallejo St,6,Sidewalk: Curb side : Cutout,Tree,Private,NA,Width 4ft,6001269.696,2117595.132,37.79458337,-122.4395963,13,9,1,57,27,30
189162,DPW Maintained,Afrocarpus gracilior :: Fern Pine,100 Kissling St,5,:,Tree,Private,2,Width 3ft,6008137.748,2109383.997,37.77242607,-122.4152504,8,2,9,28853,19,20
34899,DPW Maintained,Olea europaea 'Fruitless' :: Fruitless Olive,2530 Fillmore St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,6002713.841,2116933.67,37.79284925,-122.4345521,13,9,1,29490,27,30
269459,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2660 Scott St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,Width 4ft,6001171.418,2117534.769,37.79441203,-122.439932,13,9,1,57,27,30
30645,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,40 Isis St,2,Sidewalk: Curb side : Cutout,Tree,Private,19,NA,6008285,2108591,37.77025697,-122.4146849,8,2,9,28853,19,20
30647,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,40 Isis St,3,Sidewalk: Curb side : Cutout,Tree,Private,22,NA,6008282.259,2108516.151,37.7700513,-122.4146891,8,2,9,28853,19,20
97055,DPW Maintained,Ficus rubiginosa :: Port Jackson Fig,2209 Steiner St,1,Sidewalk: Curb side : Cutout,Tree,Private,12,3x3,6002327.802,2115857.413,37.78987221,-122.4358107,13,9,1,29490,27,30
269461,Significant Tree,Cycas revoluta :: Sago palm,451 Avila St,1,Sidewalk: Property side : Yard,Tree,Private,NA,3x3,6001084,2121537,37.80539613,-122.4405217,13,9,1,57,17,13
28940,DPW Maintained,Lophostemon confertus :: Brisbane Box,300 07th St,2,Sidewalk: Curb side : Cutout,Tree,DPW,3,3x3,6010344.316,2110831.45,37.77652421,-122.4077197,8,2,9,28853,34,34
269479,Planning Code 138.1 required,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,99x Tandang Sora,2,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203658,DPW Maintained,Podocarpus gracilor :: Fern Pine,531 Foerster St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 3ft,5998103.188,2095162.168,37.73280739,-122.4489361,9,7,4,59,40,41
191066,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,374 05th St,2,Sidewalk: Curb side : Cutout,Tree,Private,1,Width 3ft,6011926.003,2111797.319,37.77926468,-122.4023161,14,2,9,28856,34,34
269477,DPW Maintained,Ligustrum lucidum :: Glossy Privet,1542 Hayes St,3,Sidewalk: Curb side : Cutout,Tree,Private,NA,NA,6000444.413,2110313.566,37.77454306,-122.441929,15,5,11,29492,16,18
180263,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Still St,15,Sidewalk: Property side : Yard,Tree,Private,1,Width 8ft,6003455,2094699,37.73184025,-122.4304005,9,7,5,28861,25,28
235726,DPW Maintained,Prunus cerasifera :: Cherry Plum,2727 Mariposa St,1,Side Yard : Cutout,Tree,Private,7,Width 3ft,6009380,2105794,37.76263851,-122.4106997,8,4,7,28859,19,20
192433,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,950 Harrison St,8,Sidewalk: Curb side : Cutout,Tree,Private,6,Width 3ft,6011659.354,2111367.952,37.77807085,-122.4032083,14,2,9,28856,34,34
231600,Section 806 (d),Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,479 28th St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,4x4,6002824.298,2099453.456,37.74485914,-122.4329205,2,7,5,63,22,22
269498,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,950 Harrison St,9,Sidewalk: Curb side : Cutout,Tree,Private,NA,Width 3ft,6011659.354,2111367.952,37.77807085,-122.4032083,14,2,9,28856,34,34
266256,Undocumented,Pyrus calleryana :: Ornamental Pear,1190 Howard St,2,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6009251,2110802,37.77638208,-122.4114997,8,2,9,28853,34,34
142679,DPW Maintained,Lophostemon confertus :: Brisbane Box,401 BAY ST,5,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 0ft,6008798.92,2121421.459,37.80551516,-122.4138149,3,1,10,308,23,23
180264,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Still St,16,Sidewalk: Property side : Yard,Tree,Private,1,Width 8ft,6003455,2094699,37.73184025,-122.4304005,9,7,5,28861,25,28
28926,DPW Maintained,Lophostemon confertus :: Brisbane Box,275 08th St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6009566.072,2110427.96,37.77537272,-122.4103834,8,2,9,28853,34,34
180261,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Still St,13,Sidewalk: Property side : Yard,Tree,Private,1,Width 8ft,6003455,2094699,37.73184025,-122.4304005,9,7,5,28861,25,28
66543,DPW Maintained,Morus alba 'Fruitless' :: Fruitless Mulberry,272 09th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,3,NA,5993095.766,2113664.125,37.7833213,-122.4675929,11,6,2,54,11,11
128079,Permitted Site,Magnolia grandiflora :: Southern Magnolia,245 North Point St,12,Sidewalk: Curb side : Cutout,Tree,Private,13,Width 4ft,6009619.79,2121884.158,37.80683168,-122.4110069,3,1,10,308,23,23
235731,DPW Maintained,Prunus cerasifera :: Cherry Plum,2727 Mariposa St,6,Sidewalk: Curb side : Cutout,Tree,Private,5,Width 3ft,6009390.155,2105905.77,37.76294597,-122.4106725,8,4,7,28859,19,20
128074,Permitted Site,Magnolia grandiflora :: Southern Magnolia,245 North Point St,7,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6009478.774,2121864.727,37.80677042,-122.4114935,3,1,10,308,23,23
269504,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Still St,17,Sidewalk: Property side : Yard,Tree,Private,NA,Width 8ft,6003455,2094699,37.73184025,-122.4304005,9,7,5,28861,25,28
180262,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2 Still St,14,Sidewalk: Property side : Yard,Tree,Private,1,Width 8ft,6003455,2094699,37.73184025,-122.4304005,9,7,5,28861,25,28
145789,DPW Maintained,Pittosporum undulatum :: Victorian Box,808 Arguello Blvd,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 3ft,5995710.865,2110585.519,37.7750189,-122.4583229,11,6,2,54,16,18
269511,Undocumented,:: Tree,1469 Clayton St,1,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,5999441,2104373,37.75817453,-122.4449729,2,5,5,28862,3,5
269508,DPW Maintained,Carpinus betulus :: European Hornbeam,118 Fern St,1,Sidewalk: Curb side : Cutout,Tree,DPW,NA,3x4,6006729.26,2115171.286,37.78823731,-122.4205333,13,9,10,28858,21,21
267196,Undocumented,Ilex aquifolium :: European Holly,601X Rivera St,1,Sidewalk: Property side : Yard,Tree,Private,NA,9x99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269510,DPW Maintained,Eucalyptus citriodora :: Lemon scented eucalyptus,100 Hayes St,1,Median : Cutout,Tree,Landscape Architecture Capital Project,NA,NA,6007129,2111218,37.77740507,-122.4188698,7,9,9,28852,36,36
269509,DPW Maintained,Carpinus betulus :: European Hornbeam,118 Fern St,2,Sidewalk: Curb side : Cutout,Tree,DPW,NA,3x4,6006729.26,2115171.286,37.78823731,-122.4205333,13,9,10,28858,21,21
269513,Section 806 (d),Lagunaria patersonii :: Primrose Tree,2278 42nd Ave,1,Sidewalk: Property side : Cutout,Tree,Private,3,5x10,5983305.762,2099641.064,37.74424785,-122.5004247,1,8,3,29491,35,35
194104,DPW Maintained,Prunus laurocerasus :: English laurel,801 19th St,2,Sidewalk: Curb side : Yard,Tree,Private,3,NA,6015143.46,2105289.886,37.76157578,-122.3907306,10,3,8,28856,29,26
126207,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2692 Broadway,2,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 5ft,6000770.457,2117170.22,37.79338825,-122.4412932,13,9,1,29490,27,30
269518,Section 806 (d),Cercis occidentalis :: Western Redbud,4735 19th St,1,Sidewalk: Curb side : Cutout,Tree,Owner Water,3,3x3,6000114.334,2104604.124,37.75884755,-122.4426608,2,4,5,28862,3,5
47469,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2907 Bush St,1,Sidewalk: Curb side : Cutout,Tree,DPW,4,NA,5999522.715,2114292.491,37.7854156,-122.4454035,15,6,1,29490,31,31
269514,Permitted Site,Maytenus boaria :: Mayten,971 Oak St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6002365.299,2109840.073,37.77335224,-122.4352504,15,5,11,29492,9,3
269515,DPW Maintained,Arbutus unedo :: Strawberry Tree,700 Minnesota St,5,Sidewalk: Property side : Cutout,Tree,DPW,NA,3x3,6015175,2105302,37.76161079,-122.3906223,10,3,8,28856,29,26
222229,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,8 Aquavista Way,1,Sidewalk: Curb side : Cutout,Tree,Private,5,Width 3ft,5998081.934,2101924.014,37.75137256,-122.4494966,1,5,4,63,38,38
269519,Permitted Site,:: Tree,2890x Larkin St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163445,DPW Maintained,Lophostemon confertus :: Brisbane Box,133 Lobos St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,3x3,5995605.102,2088682.237,37.71487186,-122.457104,9,8,6,28861,24,24
127486,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',811 Hyde St,3,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6007762.898,2115185.086,37.7883334,-122.4169581,13,1,10,28858,21,21
127488,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1000 Sutter St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6007674.708,2115131.748,37.78818198,-122.4172594,13,1,10,28858,21,21
127485,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',811 Hyde St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6007761.549,2115197.963,37.78836868,-122.4169637,13,1,10,28858,21,21
127484,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',811 Hyde St,1,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6007760.397,2115220.472,37.78843042,-122.4169693,13,1,10,28858,21,21
127487,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',811 Hyde St,4,Sidewalk: Curb side : Cutout,Tree,Private,3,Width 4ft,6007766.869,2115168.943,37.7882893,-122.4169432,13,1,10,28858,21,21
126116,DPW Maintained,Cordyline australis :: Dracena Palm,2843 Larkin St,1,Sidewalk: Property side : Yard,Tree,Private,3,Width 5ft,6006453.145,2121079.482,37.80444416,-122.4219085,5,9,1,28858,32,32
240351,Landmark tree,Quercus suber :: Cork Oak,4090 20th St,1,Side Yard : Yard,Tree,Private,22,20x20,6003153.88,2104182.565,37.75786285,-122.4321185,2,4,5,28862,3,5
127481,Prune Opt Out,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1713 Green St,1,Sidewalk: Curb side : Cutout,Tree,Private,4,Width 4ft,6004766.798,2118430.306,37.79707496,-122.4275554,13,9,1,57,17,13
269589,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,6,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
6667,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,15,Sidewalk: Curb side : Cutout,Tree,DPW,3,3X3,6015906.321,2098408.373,37.74272288,-122.387612,10,3,8,58,1,1
149947,DPW Maintained,Lophostemon confertus :: Brisbane Box,1180 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016097.378,2103572.604,37.75691337,-122.3873115,10,3,8,28856,29,26
193844,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2065 Thomas Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,12,Width 3ft,6012352.393,2095671.776,37.73501127,-122.3997084,10,3,8,58,1,1
188616,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,13,Sidewalk: Curb side : Cutout,Tree,Private,16,Width 3ft,6015976.852,2098785.55,37.74376244,-122.3873944,10,3,8,58,1,1
6662,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,10,Sidewalk: Curb side : Cutout,Tree,DPW,6,3X3,6016012.052,2098330.173,37.74251402,-122.387241,10,3,8,58,1,1
269047,Significant Tree,Quercus tomentella :: Island oak,340 Castenada Ave,1,Front Yard : Yard,Tree,Private,3,10x10,5993576.585,2100051.867,37.74597336,-122.4649406,1,8,4,29491,40,41
6665,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,13,Sidewalk: Curb side : Cutout,Tree,DPW,6,3X3,6015957.427,2098372.206,37.74262641,-122.3874328,10,3,8,58,1,1
188618,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,15,Sidewalk: Curb side : Cutout,Tree,Private,16,Width 3ft,6015989.578,2098825.238,37.74387212,-122.3873532,10,3,8,58,1,1
6666,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,14,Sidewalk: Curb side : Cutout,Tree,DPW,6,3X3,6015925.875,2098394.939,37.74268708,-122.3875434,10,3,8,58,1,1
188612,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,8,Sidewalk: Curb side : Cutout,Tree,Private,21,Width 3ft,6015945.009,2098671.487,37.74344748,-122.3874966,10,3,8,58,1,1
6663,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,11,Sidewalk: Curb side : Cutout,Tree,DPW,6,3X3,6015993.258,2098345.222,37.7425543,-122.387307,10,3,8,58,1,1
269584,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,555 23rd St,1,Sidewalk: Curb side : Cutout,Tree,Private,NA,3x3,6016722,2102848,37.75495833,-122.3851008,10,3,8,28856,29,26
260493,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,4,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
22895,DPW Maintained,Lophostemon confertus :: Brisbane Box,198 Valencia St,1,Sidewalk: Curb side : Cutout,Tree,Private,12,3X3,6006027.212,2108592.427,37.77013378,-122.4224947,8,2,5,28853,19,20
260491,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1799 Washington St,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006327,2116970,37.79315345,-122.4220529,13,9,10,28858,32,32
149945,DPW Maintained,Lophostemon confertus :: Brisbane Box,1176 Illinois St,1,Sidewalk: Curb side : Cutout,Tree,Private,0,Width 4ft,6016092.317,2103658.719,37.75714954,-122.387335,10,3,8,28856,29,26
6658,DPW Maintained,Platanus racemosa :: California Sycamore,1550 Evans Ave,6,Sidewalk: Curb side : Cutout,Tree,DPW,3,3X3,6016095.557,2098268.177,37.74234841,-122.3869479,10,3,8,58,1,1
188609,DPW Maintained,Lophostemon confertus :: Brisbane Box,3601 03rd St,5,Sidewalk: Curb side : Cutout,Tree,Private,15,Width 3ft,6015915.655,2098586.792,37.7432133,-122.3875922,10,3,8,58,1,1
132932,DPW Maintained,Pittosporum undulatum :: Victorian Box,2759 Buchanan St,2,Sidewalk: Curb side : Cutout,Tree,Private,11,Width 4ft,6003546,2117759,37.7951626,-122.4317317,13,9,1,29490,27,30
260488,Undocumented,Platanus x hispanica :: Sycamore: London Plane,1868 Van Ness Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,3,3x3,6006172,2116875,37.79288386,-122.4225825,13,9,10,28858,32,32
